An adjusting entries for unearned revenue affects | Revenue and Liabilities
The difference between a company's assets and its liabilities, or net assets is: | Equity.
The difference between the cost of an asset and the accumulated depreciation for that asset is called | Book Value.
The expense created by allocating the cost of fixed assets to the periods in which they are used, representing the expense of using the assets, is called | Depreciation expense.
The financial statement that reports the assets, liabilities, and stockholders' (owner's) equity at a specific date is the | Balance sheet
The financial statement that reports the revenues and expenses for a period of time such as a year or a month is the | Income statement
The financial statement that reports whether the business earned a profit and also lists the types and amounts of the revenues and expenses is called: | An Income statement.
The following transactions occurred during July: 1. Received $900 cash for services provided to a customer during July 2. Received $2,200 cash investment from Barbara Hanson, the owner of the business. What was the amount of revenue for July? | $ 1,275.
The inventory system continually updates accounting records for merchandising transactions. | Perpetual inventory system
The inventory system that updates the accounting records for merchandise transactions only at the end of a period. This statement is about: | Periodic inventory system
The inventory valuation method that identifies each item in ending inventory with a specific purchase and invoice is the: | Specific identification method.
The inventory valuation method that results in the lowest taxable income in a period of inflation is: | LIFO method.
The operating functions of a business exclude: | Borrowing
The proper journal entry to record Ransom Company's billing of clients for $500 of services rendered is: | Dr. Accounts Receivable 500 Cr. Service Revenue 500
The properties used in operation activities of a business is call: | Assets
The right side of a T-account is a(n): | Credit
The rule that  financial statements will be prepared with the  assumption that the business will continue operating instead of being closed or sold, is the: | On - Going-concern principle.
The rule that requires financial statements to reflect the assumption that the business will continue operating instead of being closed or sold, unless evidence shows that it will not continue, is the: | Going-concern principle.
The seller is responsible for the costs of shipping its goods to the buyer when the terms of the sale are FOB: | Destination
The special account used only in the closing process to temporarily hold the amounts of revenues and expenses before the net difference is added to (or subtracted from) the owner's capital account is the: | Income Summary account.
The summary amounts below appear in the Income Statement and Balance Sheet columns of a company's December 31 work sheet. Prepare the necessary closing entries into INCOME SUMMARY Asset : $10,000 Revenue: $ 15,000 Unearned revenue: $1,000 | Debit Revenue: $15,000 Credit Income summary: $15,000
The summary amounts below appear in the Income Statement and Balance Sheet columns of a company's December 31 work sheet. Prepare the necessary closing entries into INCOME SUMMARY Asset : $15,000 Liability: $14,000 Expense: $ 8,000 Withdrawal: $1,000 | Credit  Expense: $8,000 Debit Income summary: $8,000
The summary amounts below appear in the Income Statement and Balance Sheet columns of a company's December 31 work sheet. Prepare the necessary closing entries into INCOME SUMMARY Asset : $15,000 Liability: $14,000 Revenue: $ 10,000 Withdrawal: $1,000 | Debit Revenue: $10,000 Credit Income summary: $10,000
The summary amounts below appear in the Income Statement and Balance Sheet columns of a company's December 31 work sheet. Prepare the necessary closing entries into OWNER CAPITAL Asset : $15,000 Liability: $14,000 Withdrawal: $1,000 | Debit Owner Capital: $1,000 Credit Withdrawal: $1,000
The system of preparing financial statements based on recognizing revenues when the cash is received and reporting expenses when the cash is paid is called: | Cash basis accounting.
The trial balance: | Provides a listing of the balance of each ledger account.
The useful life of a fixed asset is: | The length of time it is productively used in a company's operations.
The value of an asset as it appears on a balance sheet, equal to cost minus accumulated depreciation is definition of: | Book value
Thomas Enterprises purchased a depreciable asset on January 1, 2008 at a cost of $100,000. The asset is expected to have a salvage value of $15,000 at the end of its five-year useful life. Balance of accumulated depreciation of this asset at the end of 2009 is | $34000
Under the accrual basis of accounting, expenses are reported in the accounting period when the | Expense incurred
Under the accrual basis of accounting, revenues are reported in the accounting period when the | Service or goods have been delivered
Unearned Revenues is what type of account? | Liability
Unearned revenue is reported in the financial statements as: | A liability on the balance sheet.
Unearned revenues are: | Liabilities created when a customer pays in advance for products or services before the revenue is earned.
Viscount Company collected $42,000 cash on its accounts receivable. The effects of this transaction as reflected in the accounting equation are: | Total assets, total liabilities, and equity are unchanged.
What is the proper adjusting entry at December 31, the end of the accounting period, if the balance in the prepaid insurance account is $7,750 before adjustment, and the unexpired amount per analysis of policies is, $3,250? | Debit Insurance Expense, $4,500; credit Prepaid Insurance, $4,500.
When a sale is made with the credit terms of 2/10, net 30, the "2" refers to the: | Discount rate
Which account is noncurrent or long-term asset | Equipment, building, vehicle
Which accounts belong to Permanent Accounts ? | Asset, liability, owner capital
Which accounts belong to Temporary Accounts? | Revenue, expense, withdrawal, income summary
Which accounts don�t need to do closing entries? | Current Liability
Which accounts don�t need to do closing entries? | Current asset
Which accounts don�t need to do closing entries? | Gross profit
Which accounts don�t need to do closing entries? | Intangible asset
Which accounts don�t need to do closing entries? | Non � current Liability
Which accounts don�t need to do closing entries? | Non � current asset
Which accounts need to do closing entries? | All of these
Which accounts used to record amounts owed to suppliers for products or services purchased on credit? | Trade accounts payable
Which are expected to be sold collected or used within one year or the company�s operating cycle? | Current assets
Which discounts are offered based on quantities purchased | Trade discounts
Which discounts are provided to customers as an incentive for them to pay early | Purchase discounts
Which is the process that resets revenue, expense and withdrawal account balances to zero at the end of the period | Closing process
Which is true about An account balance: | Is the difference between the total debits and total credits for an account including the beginning balance
Which is true about Expenses: | The costs of assets or services used to generate revenue.
Which is true about Revenues: | Company's earning activities that contribute to increase owner�s equity .
Which is true about account receivable: | Money which is owed to a company by a customer for products and services provided on credit.
Which of the following accounting principles would require that all goods and services purchased should be recorded at cost? | Cost principle.
Which of the following accounts is not increased by a credit | Asset
Which of the following accounts is not increased by a debit? | Revenue
Which of the following assets is not depreciated? | Inventory
Which of the following inventory costing methods will always result in the same values for ending inventory and cost of goods sold regardless of whether a perpetual or periodic inventory system is used? | Specific identification and FIFO
Which of the following statements is correct? | The left side of a T-account is the debit side.
Which of the following statements is incorrect? | Adjusting entries affect the cash account.
Which of the following statements is incorrect? | The normal balance of an expense account is a credit.
Which of the following statements is true about assets? | All of these.
Which of the following statements is true? | A debit increases an asset while a credit  decrease an asset
Which statement is about Mary�s capital: | The owner's equity account that contains the amount invested in the sole proprietorship by Mary Smith plus the net income since the company began minus the draws made by Mary Smith since the company began.
Which statement is correct? | Accumulated Depreciation is a contra asset account
Which statement is true about revenue: | Revenue is reported in the financial statements on the income statement.
Which statement is true about tangible asset? | Tangible  assets are assets held for operating activity of the company
Which statement is true: | A retailer is an intermediary that buys products from manufacturers or wholesalers and sells them to consumers.
Which statement is true: | Account payable  is considered a liability on the balance sheet
Which statement is true: | Depreciation Expense is shown on the income statement in order to achieve accounting's matching principle.
Which statement is true: | Generally when an expense or withdraw is involved in a transaction, it will be debit
Which statement is true: | Merchandise available for sale includes Beginning inventory and Net cost of purchases.
Which statement is true: | Prepaid expense is considered an asset on the balance sheet
Which statement is true: | Unearned revenue  is considered a liability on the balance sheet
Which statement is true? | Expenses decrease Owner�s equity
Which statement is true? | The double entry system requires every transaction to be recorded in at least two places
Which statement is true? | Assets need to depreciate include  vehicle, machine,  buildings
Which statement is true? | A contra-asset account such as Accumulated Depreciation will likely have credit balance
Which statement is true? | Current liabilities include accounts payable, unearned revenues, and salaries payable.
Which statement is true? | Income summary and withdrawals accounts are temporary accounts and should be closed at the end of the accounting period.
Which statement is true? | Revenue and expense accounts are temporary accounts and should be closed at the end of the accounting period.
Which statement is true? | The cost of an inventory item includes its invoice cost minus any discount, and plus any added costs necessary to put it in a place and condition for sale.
Which statement is true? | Total asset cost minus accumulated depreciation equals book value.
Wisconsin Rentals purchased office supplies on credit. The general journal entry made by Wisconsin Rentals will include a: | Credit to Accounts Payable.
Withdrawal account, revenues account, expenses account and income summary account are | Temporary accounts
Zed Bennett opened an art gallery and as a dealer completed these transactions: 1. Started the gallery, Artery, by investing $40,000 cash and equipment valued at $18,000. What was the balance of the cash account after these transactions were posted? | $43,300.
The operating functions of a business include: | All of these.
The rule that  financial statements will be prepare with the  assumption that the business will continue operating instead of being closed or sold, is the: | On - Going-concern principle.
The accounting principle that requires accounting information to be based on actual cost and, is the: | Cost principle.
An example of a financing activity is: | Obtaining a short term loan.
An example of an investing activity is: | Purchase of land.
Net income is: | The excess of revenues over expenses.
The difference between a company's assets and its liabilities is: | Equity.
Which item in owner equity that represents costs used to earn revenues : | Expenses.
Expenses are: | The costs of assets or services used to generate revenue.
Revenues are: | Company's earning activities that contribute to increase owner equity .
Accounting  refers to: | All of these
If assets are $99,000 and liabilities are $32,000, then equity equals | $67,000.
A cash outflow from the company into its owner is called a(n): | Withdrawal.
How does Lead Company record  by the billing of a client for $15,000 of service completed? | +$15,000 accounts receivable, +$15,000 revenue.
Moffic  Company has assets of $600,000, liabilities of $250,000, and equity of $350,000. It buys raw material on credit for $25,000. What would be the effects of this transaction on the accounting equation? | Assets increase by $25,000 and liabilities increase by $25,000.
Reebok had income of $150 million, sale of $ 1,000 million  and average invested assets of $1,800 million. Its return on assets is: | 8.3%.
Nike had income of $350 million, sale of $ 1,000 million  and average invested assets of $2,000 million. Its ROA is: | 17.5%.
Liability created by purchasing goods and services on credit are: | Accounts payable.
An account used to record the owner's investments in the business is called a(n): | Contributed Capital account

The proper journal entry to record Ransom Company's billing of clients for $500 of services rendered is: | Dr. Accounts Receivable 500 Cr. Service Revenue     500
Which accounts don't need to do closing entries? | Non - current Liability
A company that uses a perpetual inventory system made the following cash purchases and sales:Jan, 1: Purchased 100 units at $10 per unit.Feb, 5: Purchased 60 units at $12 per unit.March, 16: Sold 40 units for $ 16 per unit.Prepare general journal entries to record the March 16 sale assuming a cash sale and theFIFO method is used. | March 16 Dr Cash 640 Cr Sale revenue 640 Dr COGS 400 Cr Inventories 400
If assets are $199,000 and liabilities are $132,000, then equity equals | $67,000.
Which accounts don't need to do closing entries? | Non - current asset
A company must record its expenses incurred to generate the revenue reported. | Matching Principle
Realistic Company purchased a new truck on January 1, 20X1. The truck cost $20,000, has a four-year life, and a $4,000 residual value. The company has a December 31 year end. If Realistic Company depreciates the truck by the straight-line method, how much should Realistic report as the book value of the truck at the end of 20X3? | $8,000
Which is true about Revenues: | Company's earning activities that contribute to increase owner's equity .
On June 30, 2009, Apricot Co. paid $7,500 cash for a service that will be performed during two-year period. On June 30, 2009 Apricot should record: | A debit to a prepaid expense for $7,500 and credit cash $ 7,500
Provide descriptions for this transaction: Increase cash $1,000 and Increase equity $,1000 | Investment of cash in business by owner or performed services for cash
At the beginning of January of the current year, a Law company has a normal balance of $50,000 for accounts receivable. During January, the company collected $14,000 from customers and provided additional services to customers on account totaling $12,000.Additional, company used service of $ 1,000 on credit. At the end of January, the balance in the accounts receivable account should be: | $48,000.
Which accounts don't need to do closing entries? | Gross profit
Depreciation is: | The assigning or allocating of a fixed asset's cost to expense over the accounting periods that the asset is likely to be used.
Provide descriptions for this transaction:Debit inventory $8,000 and credit liability $,8000 | Buying inventory on credit $8,000
Tangible assets include: | All of these.
A company had inventory of 5 units at a cost of $20 each on November 1. On November 2, it purchased 10 units at $22 each. On November 6 it purchased 6 units at $25 each. On November 8, it sold 18 units for $54 each. Using the LIFO perpetual inventory method, what was the cost of the 18 units sold? | $410.
A company purchased new computers at a cost of $14,000 on September 30, 2010. The computers are estimated to have a useful life of 4 years and a salvage value of $2,000. The company uses the straight-line method of depreciation. How much depreciation expense will be recorded for the computers for the year ended December 31, 2010? | $750
The summary amounts below appear in the Income Statement and Balance Sheet columns of a company's December 31 work sheet. Prepare the necessary closing entries into INCOME SUMMARYAsset : $10,000Revenue: $ 15,000Unearned revenue: $1,000 | Debit Revenue: $15,000 Credit Income summary: $15,000
The operating functions of a business exclude: | Borrowing.
Zed Bennett opened an art gallery and as a dealer completed these transactions:1. Started the gallery, Artery, by investing $40,000 cash and equipment valued at $18,000.2. Purchased $70 of office supplies on credit.3. Paid $1,200 cash for the receptionist's salary.4. Sold a painting for an artist and collected a $4,500 cash commission on the sale.5. Completed an art appraisal and billed the client $200.What was the balance of the cash account after these transactions were posted? | $43,300.
John, the owner of Matt company, withdrew $8,000 from the business during the current year. The entry to close the withdrawals account at the end of the year, is: | Debit capital $8,000 and credit withdrawal $ 8,000
Provide descriptions for this transaction: | Received cash for an account receivable.
The business completed these transactions:1. Investing $20,000 cash and a building valued at $100,000.2. Purchased $10,000 of a truck on credit.3. Paid $20,000 cash for raw material.4. Selling products and collected$40,000 cash.What was the balance of the cash account after these transactions were posted? | $40,000
Acme-Jones Company uses a weighted-average perpetual inventory system.August 2, 8 units were purchased at $12 per unit.August 18, 15 units were purchased at $14 per unit.August 29, 20 units were sold.August 31, 10 units were purchased at $16 per unit.What is the per-unit value of ending inventory on August 31? | $15.38.
The proper journal entry to record Ransom Company's billing of clients for $500 of services rendered is: | Dr. Accounts Receivable 500  Cr. Service Revenue 500
The accounting assumption that requires every business to be accounted for separately from  other business entities, including its owner or owners is known as the: | Business entity assumption.
An adjusting entry could be made for each of the following except: | Owner withdrawals.
A company has inventory of 10 units at a cost of $10 each on June 1. On June 3, it purchased 20 units at $12 each. 12 units are sold on June 5. Using the FIFO perpetual inventory method, what is the cost of the 12 units that were sold? | $124.
An adjusting entry could be made for each of the following except: | Owner capital
J. Awn, the proprietor of Awn Services, withdrew $8,700 from the business during the current year. The entry to close the withdrawals account at the end of the year, is: | Debit capital $8,700 and credit withdrawal $ 8,700
Which accounts don't need to do closing entries? | Current asset
If the liabilities of a business increased $75,000 during a period of time and the owner's equity in the business decreased $30,000 during the same period, the assets of then business must have: | Increased $45,000.
The amount due on the maturity date of a $12,000, 60-day 8%, note receivable is: | $12,000.
A company had no office supplies available at the beginning of the year. During the year, the company purchased $250 of office supplies. On December 31, $75 of office supplies remained. How much should the company report as office supplies expense for the year? | $175.
Provide descriptions for this transaction: Debit insurance expense $8,000 and credit Insurance - prepaid expense $,8000 | Adjusting prepaid expense at the end of period $8,000
An adjusting entry could be made for each of the following except: | Revenue.
Merchandise inventory includes: | All goods owned by a company and held for sale.
A company had no office supplies available at the beginning of the year. During the year, the company purchased $250 worth of office supplies. On December 31, $75 worth of office supplies remained. How much should the company report as office supplies expense for the year? | $175.
Selling products for cash $300 and $700 on credit. Show the general journal entry to record this transaction. | Debit Cash $ 300 Debit Account Receivable $700 Credit Revenue $1,000
The summary amounts below appear in the Income Statement and Balance Sheet columns of a company's December 31 work sheet. Prepare the necessary closing entries into INCOME SUMMARY Asset : $15,000 Liability: $14,000 Expense: $ 8,000 Withdrawal: $1,000 | Credit Expense: $8,000 Debit Income summary: $8,000
If Smith, the owner of a restaurant, uses cash of the business to pay for renting his house, the business should record this use of cash with an entry to: | Debit Withdrawals and credit Cash.
Provide descriptions for this transaction:Debit unearned revenue $8,000 and credit revenue $8,000 | Adjusting unearned revenue at the end of period $8,000
Which statement is true? | Expenses decrease Owner's equity
Provide descriptions for this transaction:Debit office supplies $2,000 and credit liability $,2000 | Buying office supplies on credit $2,000
A company that uses a perpetual inventory system made the following cash purchases and sales: Jan, 1: Purchased 100 units at $10 per unit. Feb, 5: Purchased 60 units at $12 per unit. March, 16: Sold 40 units for $ 16 per unit. Prepare the general journal entry to record the March 16 sale assuming a cash sale and the LIFO method is used: | Dr Cash 640 Cr Sale revenue 640 Dr COGS 480 Cr Inventories 480
A company had inventory on November 1 of 5 units at a cost of $20 each. On November 2, they purchased 10 units at $22 each. On November 6 they purchased 6 units at $25 each. On November 8, 8 units were sold for $55 each. Using the LIFO perpetual inventory method, what was the value of the inventory on November 8 after the sale? | $276
Which accounts don't need to do closing entries? | Intangible asset
External users of accounting information exclude: | Manager.
Adjusting depreciation expense of fixed asset at $8,000. Recording this transaction: | Debit depreciation expense $8,000 and credit accumulated depreciation expense $,8000
Provide descriptions for this transaction: Debit inventory $8,000 and credit cash $,8000 | Buying inventory by cash $8,000
Newton Company uses the allowance method of accounting for uncollectible accounts.On May 3, the Newton Company wrote off the $3,000 uncollectible account of its customer, P. Best. The journal entry on May 3 is: | Dr allowance for doubtful debts 3000 Cr account receivable 3000
Provide descriptions for this transaction:Debit expense $2,000 and Credit supplies $2,000 | Used supplies
Provide descriptions for this transaction:Debit Cash $8,000 and credit Unearned revenue $,8000 | Received payment in advance from customers by cash $8,000
Taylor Company uses the direct write-off method of recording uncollectible accounts receivable. Recently, a customer informed Taylor that he would be unable to pay $300 owed to Taylor. Taylor's proper journal entry to reflect this event would be: | Dr. Uncollectible Accounts Expense 300 Cr. Accounts Receivable 300
At the beginning of January of the current year, Thomas Law Center's ledger reflected a normal balance of $52,000 for accounts receivable. During January, the company collected $14,800 from customers on account and provided additional services to customers on account totaling $12,500. Additionally, during January one customer paid Thomas $5,000 for services to be provided in the future. At the end of January, the balance in the accounts receivable account should be: | $49700
An adjusting entry could be made for each of the following except: | Account payable.
Which statement is true about tangible asset? | Tangible assets are assets held for operating activity of the company
Provide descriptions for this transaction: Debit Cash $8,000 and credit Unearned revenue $,8000 | Received payment in advance from customers by cash $8,000
Flynn Company uses an allowance method for recording uncollectible. At the due date of that account receivable, Flynn determined that $4,000 due from Mitchell will not be collected and should be write off. The entry Flynn should record to write off the Mitchell account is: | Dr. Allow. for Uncollectible Accounts 4,000 Cr. Accounts Receivable 4,000
Which statement is true: | Account payable is considered a liability on the balance sheet
John set up a new business and completed these transactions:1. Open new restaurant, by investing $30,000 cash and equipment valued at $10,000.2. Purchased $1,000 of kitchen utility on credit.3. Paid $1,500 cash for the staff's salary.4. Service meals to customers and collected$4,000 cashWhat was the balance of the cash account after these transactions were posted? | $32,500
A company had inventory of 15 units at a cost of $20 each on November 1. On November 2, it purchased 10 units at $22 each. On November 6 it purchased 12 units at $25 each. On November 8, it sold 22 units for $54 each. Using the FIFO perpetual inventory method, what was the cost of the 22 units sold? | $454.
Provide descriptions for this transaction:Debit office supplies $8,000 and credit liability $,8000 | Buying office supplies on credit $8,000
Reflects assumption that the business will continue operating instead of being closed or sold.It is about: | Going-Concern Assumption
The rule that financial statements will be prepared with the assumption that the business will continue operating instead of being closed or sold, is the: | On - Going-concern principle.
Given the following information, determine the cost of the inventory at June 30 using the LIFO perpetual inventory method. June, 1: Beginning inventory 15 units at $20 each June, 15: Sale of 6 units at $50 June, 29: Purchased of 8 units at $25 The cost of goods sold is : | $120.
QN=180 | Ending inventory is equal to merchandise available for sale minus cost of goods sold.
Which are expected to be sold collected or used within one year or the company's operating cycle? | Current assets
Which statement is true: | Unearned revenue is considered a liability on the balance sheet
Which of the following is not considered as subcategory of owner's Equity? | Assets
Which of the following statements is true? | A debit increases an asset while a credit decrease an asset
An adjusting entry could be made for each of the following except: | Cash.
Acme-Jones Corporation uses a weighted-average perpetual inventory system.August 2, 10 units were purchased at $12 per unit.August 18, 15 units were purchased at $14 per unit.August 29, 12 units were sold.What was the amount of the cost of goods sold for this sale? | $158.40.
Nelson Company purchased equipment on July 1 for $27,500 and decided to depreciate the equipment on the straight-line method over its useful life of five years. Assuming the equipment's salvage value is $3,500, the amount of monthly depreciation expense Nelson should recognize is: | $ 400
Items used in business operations, such as office pens and paper are several samples of: | Office supplies
At the beginning of 2009, a company's balance sheet reported the following balances:Total Assets = $125,000; Total Liabilities = $75,000; and Owner's Capital = $50,000. During 2009, the company reported revenues of $46,000 and expenses of $30,000. In addition, owner's withdrawals for the year totaled $20,000. Assuming no other changes to owner's capital, the balance in the owner's capital account at the end of 2009 would be: | $46,000.
Which statement is true? | Assets need to depreciate include vehicle, machine, buildings
On June 1, paid $200 cash for office supplies. Prepare journal entries to record the above transactions on June 1. | Debit office supplies expense $200 Credit Cash $ 200
An adjusting entry could be made for each of the following except: | Cost of goods sold.
Which statement is about Mary's capital: | The owner's equity account that contains the amount invested in the sole proprietorship by Mary Smith plus the net income since the company began minus the draws made by Mary Smith since the company began.
Hefty Company wants to know the effect of different inventory methods on financial statements. Given below is information about beginning inventory and purchases for the current year.  January 2 Beginning Inventory: 500 units at $3.00 April 7 Purchased : 1,100 units at $3.20 June 30 Purchased : 400 units at $4.00 December 7 Purchased : 1,600 units at $4.40 Sales during the year were 2,700 units at $5.00. If Hefty used the periodic LIFO method, cost of goods sold would be: | $10,880
Which accounts don't need to do closing entries? | Current Liability
Cooley company has the balance in the accounts payable at the beginning of March was $1,000. During the month of March, Cooley company purchased from Dell company on account totaling $2,000. Also during this month, Cooley company paid $500 on its accounts payable for Dell company. In addition, Cooley company was paid $8,000 by a customer for services to be provided in the future. What is the balance in accounts payable at the end of March? | $2,500.
A company had the following purchases during the current year:Jan: 10 units at $ 120Feb: 20 units at $130May: 15 units at $140Sep: 12 units at $150Nov: 10 units at $160On December 31, there were 26 units remaining in ending inventory. These 26 units consisted of 2 from January, 4 from February, 6 from May, 4 from September, and 10 from November. Using the specific identification method, what is the cost of the ending inventory? | $3,800.
The right side of a T-account is a(n): | Credit.
Branz Company had credit sales during the current year which amounted to $700,000.Historically, 3% of credit sales are uncollectible. If Branz uses the allowance method of recording uncollectible accounts, a proper journal entry for the year would be: | Dr. Uncollectible Accounts Expense 21,000 Cr. Allow. for Uncollectible Accounts 21,000
Provide descriptions for this transaction:Debit unearned revenue $8,000 and credit revenue $,8000 | Adjusting unearned revenue at the end of period $8,000
A company that uses a perpetual inventory system made the following cash purchases and sales:Jan, 1: Purchased 100 units at $10 per unit.Feb, 5: Purchased 60 units at $12 per unit.March, 16: Sold 40 units for $ 16 per unit.Prepare the general journal entry to record the March 16 sale assuming a cash sale and the weighted average method is used. | Dr Cash 640 Cr Sale revenue 640 Dr COGS 430 Cr Inventories 430
Office supplies available at the beginning of the year are 0. During the year, the company purchased $3000 of office supplies. On December 31, $1000 of office supplies remained. Additional company's insurance expense is $ 1000. How much should the company report as office supplies expense for the year? | $2000
Which are expected to be sold, collected or used within one year or the company's operating cycle? | Current assets
Which accounts belong to Permanent Accounts? | Asset, liability, owner capital
