Which of the following is NOT a potential security issue with respect to the Linux GUI? | Linux GUI applications can be assessed over an SSH connection.
Your /etc/fstab file contains the following entry: /dev/sdc5 / ext4 defaults 1 1 Unfortunately, the order in which your three hard disks is detected vaires randomly from one boot to another which makes this etry problematic. how might you change the entry to fix this problem? | Replace /dev/sdc5 with a UUID specification, such as UUID=ab4cdbdd-b9b3-404a-9a54-c1691f1f1483, obtaining the UUID value using blkid
You've just repartitioned a non-boot disk, added a swap partition to it (/dev/sdb7), created swap space on the partition. How can you activate the new swap partition. How can you activate the new swap partition? | swapon /dev/sdb7, swapon -a
What is the purpose of the /etc/mtab file? | It describes the filesystems that are currently mounted, using syntax similar to that of /etc/fstab.
A network file server has become unavailable while your Linux computer was accessing it at /mnt/remote. Now you want to umount that share, but because the server has disappeared, umount complains. Which of the follow commands is most likley to successfully unmount this unresponsive mount? | umount -f /mnt/remote
What does the following command accomplish? # mkfs.ext2 /dev/sda4 | it creates a new ext2 filesystem on /dev/sda4, overwriting any existing filesystem and data.
Which of the following options in used with fsck to force it to use a particular filesystem type? | -t
What is an advantage of a journaling filesystem over a conventional (non-journaling) filesystem? | Journaling filesystems require shorter disk checks after a power failure of system crash.
Which of the following features can you adjust with tune2fs? | The presence of a journal, The filesystem's UUID
You have accidentally deleted a file on an ext3fs partition. To recover it, you first enter debugfs, specifying the partition's device node. How can you recover the file? | Type undelete inode, where inode is the files' inode number.
An ext4 filesystem on /dev/sda3 is being checked every time you reboot your computer. You suspect it may have an incorrect value set that's causing the system to check it after every mount operation. How can you test this hypothesis? | Type dumpe2fs -h /dev/sda3 and examine the maximum mount count and maximum check interval values.
What option to mkisofs would you use if you want a computer running Microsoft Windows 7 to be able to read long filenames on a CD-R or DVD created with Linux? | -J, -udf
You've downloaded the latest version of your Linux distribution as a 4 GB DVD image file (distrib.iso). Which of the following commands will burn this file to a blank DVD, assuming your DVD drive can be accessed as /dev/dvdrw? | growisofs -Z /dev/dvdrw=distrib.iso
You want to write files to a DVD+RW disc over a period of several days, retaining the ability to read the disc on another computer at a moment's notice. How can you accomplish this task? | Use mkudffs to create a UDF filesystem on the disc, mount it as if it were a hard disk, and write files to it.
The /etc/auto.master file on ganymede.example file on ganymede.example.com contains the following line: /mnt/net /etc/auto.servers The /etc/auto.servers file includes the following line: templates europa.example.com: /data/templates What file should a user on ganymede.example.com access to read the /data/templates/iceflow.txt file on europa.example.com? | /mnt/net/templates/iceflow.txt
What is the effect of the following udev rule, when placed in the /etc/udev/rules.d/99-my.rules files? KERNEL=="video*", DRIVER=="saa7134", SYMLINK+="video-A180" | It creates a symbolic link called /dev/video-A180 that points to the primary device file for a video device that has a driver called saa7134.
You're using a third-party Linux driver that creates device files called /dev/pd-c0-aout, /dev/pdc0-din, and several more of this form. You want to give users in the exper group full read/write access to these device while keeping other users from accessing them. What udeve rule can accomplish this goal? | KERNEL=="pc-c?-*", GROUP="exper", MODE="0660"
Which of the following represents a type of mandatory access control | The FTP service is allowed to interact with directories other than users' home directories
Which FHS directory can be mounted separately from the root directory ? | /home/
The read, write, and execute permissions of a file are an example of a | discretionary access control
The /usr/directory contains programs that are generally accessible to all users. This directory can be secured by mounting it | as read-only
Who developed the first Linux kernel | Linus Torvalds
As specified in the FHS, log files are generally found in the ____ directory | /var/
The WINE application is an example of process that runs in | user space
What is the primary mission of the Electronic Frontier Foundation (EFF)? | Protection of consumer digital rights
What is a TPM chip used for? | All of the above
Which directory renders many application unusable, including logging into the GUI, if the space allocated to the /tmp/filesystem is full | /tmp/
What would be the result of changing the GRUB option timeout=5 to timeout=0 on the Linux operating system | The boot loader will immediately boot the operating system into the default kernel
Which of the following is not a common server form factor | FireWire
What is Pre-boot execution environment (PXE) associated with | Linux installation over a network
Assume that you have just logged on as aregular user. Which of the following commands allows you to edit the file with user passwords associated with the Shadow Password Suite? | B. sudo -c "vi/etc/shadow"
To add a comment to the new user's profile, the _________ option could be used | -c
commercial distributions | RHEL and SLE are examples of
You need to change the permissions on a file called spock.odt such that the owner can read and write to the file, users who are members of the group can read and write to the file and users who are not the owner and not part of the owning group can only read the file. Which command will do this? | chmod 664
core | The actual Stage 2 image is the __________ of the GRUB
The core of the operating system: the kernel. | What is Linux exactly?
Cost savings by purchasing less hardware Security advantages with more bastion hosts | What are the advantages of virtualization in a Linux infrastructure?
dhcpcd | Which of the following is not a Linux DHCP client?
a bootloader is | the first program that runs when a computer starts
Free distributions backed by their commercial counterparts | Red Hat and Ubuntu are examples of
What is a common use for Linux in the LANto-WAN Domain | gateway
The open source license associated with theGNU project is __________ | GPL
GNU stands for | GNU's not Unix
The command that list currently loaded GPGkey is ____ | GPG -listkey
GRUB stands for | Grand Unified Bootloader
To add a new group to your system you must use the __________ command. | groupadd
To delete an existing group, you must use the ______________ command. | groupdel
To modify an existing group, you must use the | groupmod
Which of the following commands can be used to add the users Superman, Batman and WonderWoman to a group called JusticeLeague that already exists on a Linux System? | groupmod -A "Superman,Batman,WonderWoman" JusticeLeague
__________ aims to be compliant with the Multiboot Specification. | GRUB
The ________ Shell is interactive. | GRUB
In Linux, the two most common boot loaders are | GRUB and LILO
Which of the following are valid block devices on most default linux distributions? | hard disks loopback devices
The /etc/shadow file | is the encrypted password file
What does the configure script do in an application's install directory? | It checks the local system to verify that the necessary components are available. It creates the Makefile file.
What does the following command accomplish? <br># mkfs -t ext2 /dev/sda4 | It creates a new ext2 filesystem on /dev/sda4, overwriting any existing filesystem and data.
Red Hat/Fedora | The RPM and YUM package management systems are usually associated with _______ distributions.
259. Replace the incompatible parts with supported parts. | You're planning to install Linux on a system that you have built out of spare parts. Several components are not listed on your distributions HCL. What should you do?
rpm -checksig ./evolution- 2.6.0.41.i586.rpm | You've downloaded a package named evolution-2.6.0.41.i586.rpm to your home directory. What command will you use to check the digital signature of the package to verify that is has not been tampered with?
266. rpm -e evolution | What command would you use to uninstall the evolution-2.6.0.41.i586.rpm from your system?
267. rpm -ihv ./evolution- 2.6.0.41.i586.rpm | You have just downloaded an RPM package named evolution- 2.6.0.41.i586.rpm. What command will you use to install the package on your system, displaying a progress indicator as the installation is completed?
269. rpm -U evolution- 2.6.0.41.i586.rpm | You currently have evolution- 2.2.0.53.i586.rpm on your system. You have recently downloaded evolution- 2.6.0.41.i586.rpm to your system and want to install it. What command will you use to upgrade(install) the newer package?
271. runlevels | _________ range from 0-6
283. stages | The GRUB process happens in
289. Swap | Which Partition is used by Linux for virtual memory?
295. tar tvf data79.tar | You've received a tarball called data79.tar from a colleague, but you want to check the names of the files it contains before extracting them. Which of the following commands would you use to do this?
296. tar -xvzf Bit Torrent- 5.0.1.tar.gz | Assuming all of the preliminary steps have been taken correctly, what command would you enter at the shell prompt to extract all of the files from the Bit Torent- 5.0.1.tar.gz archive?
298. telinit 5 | Having booted into run level 3, how would you change to run level 5 without rebooting? telinit 5 startx run 5 ALT-F7-5 setinit 5
299. They are changed with the password utility. | Which of the following is true of Linux passwords?
Stage 2 consists of | two images
A server (or any system) should have a strong password. | T
Linux may not support your hardware by default | T
Virtual memory is the same as Swap space in Linux. | T
With Server 2008, Microsoft has somewhat decoupled the GUI from the base OS. | Tr
VFS is used for a partition that will store files from nonLinux Operating Systems. | Tr\
In Linux, the GUI interface and the kernel are separate. | Tr
A multi-user operating system is capable of providing services for many users on the system concurrently | Tr
KDE, GNOME and XDE are examples of GUI interfaces available for Linux | Tr
Linux associates each partition as a separate device. | Tr
The Open Source/GNU movement was started by Richard Stallman. | Tr
Linux, for the most part, adopts the monolithic kernel architecture. | Tr
It is important to check your distribution's Hardware Compatibility List (HCL) before installing Linux. | Tr
We will be using a dual-boot system in this course. | Tr
Which of the following measures is the most effective way to prevent attacks through various network services? | Uninstall unneeded network services.
 | . unique GID
Which command will update the slocate database as a background process? | updatedb &
How can you best see how much free space you have in your current directory? | Use df
The command to add a new user is | useradd
To delete a user, you must use the _____________ command. | userdel
The third field in the /etc/passwd file is | user ID (UID)
To modify an existing user's profile you, must use the _____________ command. | . usermod
 | The user who runs the file becomes the file's temporary owner.
Where does the RPM store its database of installed packages? | /var/lib/rpm
Typing ls -ld wonderjaye reveals a symbolic file mode of drwxr-xr-x. Which of the following is true? | wonderjayeis adirectory. wonderjayemay be read by all users of the system.
What is YaST? | Yet another Setup Tool and it has a GUI interface
 | Distributions or distros
How should you engage users in helping to secure your computer's passwords? | Educate them about the importance of security, the means of choosing good passwords, and the ways crackers can obtain passwords.
What is wrong with the following /etc/fstabfile entry?/dev/hda8 nfs default 0 0 | The entry is missing a mount point specification. /dev/hda8is a disk partition, but nfsindicates a network filesystem.
Group information is stored in the | /etc/group file
A server should be user friendly so anyone in the company can use it for casual computing. | False
The server room does not need to be temperature controlled because servers are robust and can handle a wide variety of temperatures. | False
A server should be located out in the open, with easy access for all. | False
In the Macintosh and Windows design concept, the GUI interface and kernel are separate. | False
ext3 and ext are exactly the same file system with different names. | False
We used the second extended file system (ext2) for our file system. | False, ext4
"One computer, one desk, one user" was the vision of Richard Stallman. | False (Gates)
It is reserved | Which of the following statements applies to the IP address 192.168.0.1?
The linuxconf Routed Daemon screen | Which of the following are ways to disable dynamic routing?
Linux Loader | LILO stands for
man 3 syslog | You are told by a co-worker that information pertaining to the syslog command can be found in man page 3. How would you view this information?
Manages scheduling of routine system tasks | Which statement describes the cron daemon?
The megaprog.rpm, if it exists, is valid and is not already installed, is installed on the system | An administrator types the following command on an RPM based Linux system: # rpm -ihv megaprog.rpm. What is the effect of this command?
The program files are large and thus may cause a disk to run out of space. | Users may be able to abuse a program's features, thus doing more damage than would otherwise be possible Which of the following are risks of SUID and SGID programs?
How would you remove two lines of text from a file using Vi? | In command mode, position the cursor on the first line, an
initrd /boot/initrd-3.4.2 | How might you identify an initial RAM disk file in GRUB 2?
Install it as a new kernel leaving the original kernel in place | which of the following is the correct method to apply a new kernel built on a Linux system
What does runlevel 4 do? | Its purpose isn't standardized, so it can be used for anything you like
What is included in a typical Linux distribution | . Kernel, tools, libraries and application
You want to boot a Linux system into single-user mode. What option might you add to a Linux kernel's options list at a boot loader to accomplish this task | Iroot ALL=(ALL) ALL |  Which entry in the standard /etc/sudoers file gives the root administrative user
LDAP | Which of the following is the best choice for network authentication
The live CD can be used for forensic analysis. | Which of the following is a valid reason to use a Live CD on a suspected compromised system?
MBR | Where might the bios find a bootloader?
. A methodology used by open source security professionals to measure compliance | Which of the following is one of the best descriptions for OSSTMM?
Mkfs | Which command formats all Linux system, Microsoft VFAT....
Nessus | Which of the following tools would be most appropriate to periodically scan all Linux servers for vulnerabilities?
Netstat | which command helps to better understand the networking subsystem
Nologin | Which of the following is a fake shell you can use for nonstandard users
An open source antivirus solution mainly used on Linux e-mail gateways. | ClamAV can be described as:
56. A passphrase using a public and private key | In addition to username/passwords, SSH can authenticate a user based upon
A previously scheduled shutdown is cancelled. | A system administrator types the following command: # shutdown -c What is the effect of this command?
. The private company behind Ubuntu | What is Canonical?
9. /proc/kcore | In a suspected compromised system, which of the following files will have the current data stored in RAM?
The program terminates without saving your work | In Vi's command mode, you type :q!. What is the effect?
Know the Linux command for listing all running processes | ps aux or just ps
. rsync -e ssh | Which of the following commands is used to transfer data over an SSH connection in encrypted format?
. Running GUI applications | Using Linux as a desktop typically involves the added security risk of:
Samba has username and passowrd authentication as part ofits built-in functionality | from a security perspective, what is the advantage of SAMBA over NFS when installed with the standard configuration?
8. The service runs in isolation in its own virtual-like environment | Running a network service in a chroot environment is considered a layer of security because:
A specific function and minimal services installed to provide its designated services | The theory of configuring a bastion host is one in which the server has:
SSH | which method is preferable for securing access in the Remote Access Domain?
a stock built from the mainline kernel | A "vanilla" kernel has _____?
Type dmesg | less, and peruse the output for disk-related messages. |  After booting, one of your hard disks doesn't respond. What might you do to find out what's gone wrong?
Type R. Type i. Type a. | From Vi's command mode, you want to enter insert mode. How might you do this?
Typically, open source software vulnerabilities are immediately made public | Which of the following is a difference between security vulnerabilities associated with open source software and proprietary software ?
The user's basic information, such as the default login shell. | what user account information can be found in the /etc/passwd file
User Space | The WINE application is an example of a process that runs in?
Usrquota | Which mounting option will enable user quotas on a filesystem
Vi is smaller and so can fit on compact emergency systems and embedded devices | What is an advantage of Vi over Emacs?
5. visudo | which of the following commands is used to edit the /etc/sudoers file?
YUM | which of the following commands can automatically detect dependencies during software install?
Every computer consists of physical components and nonphysical components. The nonphysical components of a computer that understand how to work with the physical components are referred to as _________. | software
The operating system software is necessary for a computer to function. True or False? | True
Linux is a _________ and _________ operating system. | multiuser, multitasking
The core component of the Linux operating system is the Linux kernel. If you were a Linux systems administrator for a company, when would you need to upgrade your Linux kernel? (Choose all that apply.) | when you need support in Linux for new hardware
Which of the following kernels are developmental kernels? (Choose all that apply.) | 3.3.4
A production kernel refers to a kernel whose _______. | minor number is even
Many types of software are available today. Which type of software does Linux represent? | Open Source Software
Which of the following are characteristics of Open Source Software? (Choose all that apply.) | The software is developed collaboratively
To which license does Linux adhere? | GNU General Public License
What are some good reasons for using Linux in a corporate environment? (Choose all that apply.) | Linux software is unlikely to be abandoned by its developers.
Which of the following are common methods for gaining support for Linux? | all the above
Which two people are credited with creating the UNIX operating system? (Choose two answers.) | Dennis Ritchie
Who formed the Free Software Foundation to promote open development? | Richard Stallman
Which culture embraced the term"GNU"(GNU's Not UNIX) and laid the free software groundwork for Linux? | the hacker culture
Linux was developed by_______ to resemble the ______ operating system. | Linus Torvalds, MINIX
When the core components of the Linux operating system are packaged together with other Open Source Software, it is called a_______. | Linux distribution
Which common GUI environments are available in most Linux distributions? (Choose all that apply.) | GNOME
Which of the following are factors that determine which Linux distribution a user will use? (Choose all that apply.) | package manager support
What is the most common open source Web server available for Linux? | Apache
Which of the following can be used on Linux to provide file and print services? | Samba
What is the default shell in Linux called? | BASH
What equivalent to the man command generally provides an easier-to-read description of the queried command and also contains links to other related information? | info
What command can you use to safely shut down the Linux system immediately? | halt
What command is equivalent to the man -k keyword command? | apropos keyword
Which of the following is not a piece of information that the Fedora installation program prompts you for? | firewall settings
Linux commands entered via the command line are not case sensitive. True or False? | False
Which command blanks the terminal screen, erasing previously displayed output? | clear
When sitting at a computer running Linux, what key combination is pressed to open the graphical terminal? | Ctrl+Alt+F1
To install Linux within a virtual machine, you can specify the path to an ISO image that contains the Linux installation media within virtualization software without having to first write the ISO image to a DVD or USB flash drive. True or False? | True
After you log in to a terminal, you receive a user interface called a _________. | shell
Users enter commands directly to the kernel of the Linux operating system. True or False? | False
How can you protect a metacharacter (such as the $ character) from shell interpretation? | Precede it with a \.
You know a Linux command will perform a desired function for you, but you cannot remember the full name of the command. You do remember it will flush a variable from your system. Which command typed at a command prompt displays a list of commands that would likely contain the command you desire? | man -k flush
Which command displays the users who are currently logged in to the Linux system? | who
Which prompt does the root user receive when logged in to the system? | #
Which prompt do regular users receive when logged in to the system? | $
Which of the following refers to the third primary partition on the second SCSI hard disk within Linux? | sdb3
Which two partitions do you typically create at minimum during a Fedora Linux installation? (Choose two answers.) | /
If you boot your computer from Linux live media, you will be able to use a fully functional Linux system prior to installing Linux on permanent storage. True or False? | TRUE
Which of the following is not an example of virtualization software that can be used to install Linux within another operating system? | Spiceworks
A directory is a type of file. True or False? | True
Which command would a user type on the command line to find out which directory in the directory tree he is currently located in? | pwd
Which of the following is an absolute pathname? (Choose all that apply.) | C:\myfolder\resume
A special device file is used to ____ | represent hardware devices such as hard disk drives and ports
If a user's current directory is /home/mary/project1, which command could she use to move to the etc directory directly under the root? | cd /etc
After typing the ls -a command, you notice that there is a file whose filename begins with a dot ( . ). What does this mean? | It is a hidden file.
After typing the ls -F command, you notice a filename that ends with an * (asterisk) character. What does this mean? | It is an executable file.
The vi editor can function in which two of the following modes? (Choose both that apply.) | command
The less command offers less functionality than the more command. True or False? | False
Which command searches for and displays any text contents of a binary file? | strings
How can a user switch from insert mode to command mode when using the vi editor? | Press the Esc key.
If "resume" is the name of a file in the home directory off the root of the filesystem and your present working directory is home, what is the relative name for the file named resume? | resume
What will the following wildcard regular expression return: file[a-c]? | filea, fileb, filec
What will typing q! at the : prompt in command mode do when using the vi editor? | quit without saving any changes
A user types in the command head /poems/mary. What will be displayed on the terminal screen? | the first 10 lines of the file mary
The tac command _______. | displays the contents of a file in reverse order, last line first and first line last
How can you specify a text pattern that must be at the beginning of a line of text using a regular expression? | Precede the string with a ^.
Linux has only one root directory per directory tree. True or False? | true
Using wildcard metacharacters, how can you indicate a character that is NOT a or b or c or d? | [!a-d]
A user typed in the command pwd and saw the output: /home/jim/sales/pending. How could that user navigate to the /home/jim directory? | cd ../..
A symbolic link is also known as a soft link and is depicted by an @ symbol appearing at the beginning of the filename when viewed using the ls -l command. True or False? | false
What was created to define a standard directory structure and common file location for Linux? | FHS
There is no real difference between the "S" and "s" special permissions when displayed using the ls-l command. One just means it is on a file, and the other means that it is on a directory. True or False? | false
The default permissions given by the system prior to analyzing the umask are _________ for directories and _____________ for files. | rwxrwxrwx and rw-rw-rw
What must a user do to run cp or mv interactively and be asked if she wants to overwrite an existing file? | Just type cp or mv because they run in interactive mode by default.
The root user utilizes the chgrp command to give ownership of a file to another user. What must the root user do to regain ownership of the file? | Run chgrp again listing the root user as the new owner.
What does this mean? | User1 has read and write, members of the root group have read and execute, and all others have read permissions to the file.
After typing the command umask 731, the permissions on all subsequently created files and directories will be affected. In this case, what will be the permissions on all new files? | -- -r- -rw-
You noticed a file in your home directory that has a + symbol appended to the mode. What does this indicate? | Additional entries exist within the ACL of the file that can be viewed using the getfacl command.
When you change the data in a file that is hard-linked to three others, _____________. | the data in the file you modified as well as the data in all hard-linked files are modified because they share the same data and all have the same inode and file size
The command chmod 317 file1 would produce which of the following lines in the ls command? | --wx- -xrwx 1 user1 root 0 Apr 29 15:40 file1
Which of the following commands will change the user ownership and group ownership of file1 to user1 and root, respectively? | chown user1 :root file1
What does the /var directory contain? | spools and log files
What does the mv command do? (Choose all that apply.) | It moves a directory.
A file has the following permissions: r-- - -x-w-. The command chmod 143 would have the same effect as the command _______________. (Choose all that apply.) | chmod u=x,g=r,o=wx file1
The which command _______________. | searches for a file only in directories that are in the PATH variable
Hard links need to reside on the same filesystem as the target, whereas symbolic links need not be on the same filesystem as the target. True or False? | true
When applied to a directory, the SGID special permission _______________. | causes all new files created in the directory to have the same group membership as the directory, and not the entity that created them
Which command do you use to rename files and directories? | mv
What are the three standard Linux permissions? | execute, read, write
-rw-r--r-- 1 user1 sys 282 Apr 29 22:06 file6 | two
Only the root user can modify a file that has the immutable attribute set. True or False? | false
Which of the following commands can be used to create partitions on either a MBR or GPT hard disk? | parted
After a partition on a hard disk drive is formatted with a filesystem, all partitions on that hard disk drive must use the same filesystem. True or False? | false
You want to see the filesystems that are presently in use on the system. What command could you use? | cat /etc/mtab
Jim has just purchased two new SCSI hard disk drives and a controller card for them. He properly installs the hardware in his machine. Before he can use them for data storage and retrieval, what must he do? (Choose all that apply.) | Create one or more partitions on each of the hard disk drives.
0 0 | /, /dev/pts, and /dev/shm
A user mounts a device to a mount point directory and realizes afterward there are files previously found within the mount point directory that are needed. What should this user do? | Unmount the device from the directory.
Which command is used to display the amount of free space that exists on a filesystem? | df
What must you do to successfully run the fsck command on a filesystem? | Unmount the filesystem.
Character devices typically transfer data more quickly than block devices. True or False? | false
What does the du /var command do? | displays the amount of free space in the /var directory
What does the command dumpe2fs-h do? | displays the number of inodes used and available in an ext2 filesystem
[root@server1 root]# | The device file has become corrupt.
Which of the following statements are true? (Choose all that apply.) | Soft limits allow a user to exceed them for a certain period of time.
A device file ___________ . (Choose all that apply.) | has no data section
Which of the following statements regarding LVM structure is correct? | VGs are comprised of one or more PVs.
The lvextend command can be used to add additional unused space within a volume group to an existing logical volume. True or False? | true
You plug a USB flash memory drive into a system that has two SATA hard disks. How will the partition on this USB flash memory drive be identified by Linux? | /dev/sdc1
Which command mounts all existing filesystems in /etc/fstab? | mount -a
A user runs the fsck command with the -a option on a filesystem that is showing signs of corruption. How would that user locate any files the system was unable to repair? | Mount the filesystem and check the lost+found directory underneath the mount point.
Which command is used to format a partition on a hard disk drive with the ext4 filesystem? | e2mkfs-t ext4 device
SAS transfers data to SCSI disks via parallel cables. True or False? | false
Which of the following is used to describe a computer that is used to access an iSCSI hard disk across the network? | iSCSI initiator
You want to view log files to get information about a problem that occurred during a Linux installation. In which directory will you likely find the log files? | /var/log
Which of the following RAID levels is not fault tolerant? | RAID 0
Which of the following is not a type of RAID? | serial RAID
Which command can you use during a system rescue to switch from the root of the live OS to the root of the Linux system installed on the hard disk? | chroot
Where is the /proc filesystem stored? | in RAM
Which RAID level uses striping with parity? | 5
RAID-Z is functionally equivalent to RAID level 1. True or False? | false
SCSI devices that use an 8-bit-wide data path use ________________. | a 50-pin connector
Which type of RAID is entirely configured during the Linux installation process? | software RAID
What command can be used to create a ZFS volume called test from the space on /dev/ sdb and /dev/sdc that functions like RAID level 1? | zpool create test mirror /dev/sdb /dev/sdc
To which directory will the test ZFS volume from the previous question be mounted by the ZFS system? | /test
Linux servers are typically installed in a rack using rackmount server hardware. Which of the following is used to describe the minimum height of a rackmount server? | 1U
Which RAID level is also referred to as mirroring? | 1
ZFS volumes are mounted at boot time from entries within /etc/fstab by default. True or False? | false
Which of the following could result in a segmentation fault (fatal signal 11) during a Fedora installation? | all of the above
SCSI-1 is also referred to as ________________. | slow and narrow
Which of the following items are you typically required to configure during a Linux server installation? (Choose all that apply.) | package selection
Which of the following commands can be used on a Fedora 20 system to view hardware and service startup information during the boot process? | journalctl -b
Because Standard Error and Standard Output represent the results of a command and Standard Input represents the input required for a command, only Standard Error and Standard Output can be redirected to/from a file. True or False? | false
Before a user-defined variable can be used by processes that run in subshells, that variable must be ________. | exported
The alias command can be used to make a shortcut to a single command. True or False? | true
Which of the following files is always executed immediately after any user logs in to a Linux system and receives a BASH shell? | /etc/profile
Which command could you use to see a list of all environment and user-defined shell variables as well as their current values? | set
Every if construct begins with if and must be terminated with________ . | fi
Which of the following will display the message welcome home if the cd /home/user1 command is successfully executed? | cd /home/user1 && echo "welcome home"
The current value for the HOME variable is displayed by which of the following commands? (Choose all that apply.) | echo $HOME
Which of the following file descriptor numbers represents stdout? | 1
Which of the following operators reverses the meaning of a test statement? | !
What would be the effect of using the alias command to make an alias for the date command named cat in honor of your favorite pet? | When you use the cat command at the command prompt with the intention of viewing a text file, the date appears instead
How do you indicate a comment line in a shell script? | Begin the line with #.
. You have redirected Standard Error to a file called Errors. You view the contents of this file afterward and notice that there are six error messages. After repeating the procedure, you notice that there are only two error messages in this file. Why? | You did not append the Standard Error to the Error file, and as a result it was overwritten when the command was run a second time
The sed and awk commands are filter commands commonly used to format data within a pipe. True or False? | true
What is wrong with the following command string: ls /etc/hosts >listofhostfile? | Nothing is wrong with the command
Which of the following is not necessarily generated by every command on the system? (Choose all that apply.) | Standard Deviation
Which construct can be used in a shell script to read Standard Input and place it in a variable? | read
A for construct is a loop construct that processes a specified list of objects. As a result, it is executed as long as there are remaining objects to process. True or False? | true
What does >> accomplish when entered on the command line after a command? | It appends Standard Output to a file.
What would be displayed if a user executes the program in question 20 and answered Blue when prompted? | The answer is not red nor blue.
Which command can be used to fine-tune the vsync and hsync of a video card for use in X Windows? | xvidtune
Which of the following statements is true? | LILO needs to be reinstalled after it has been modified.
Which directory stores most UNIX SysV rc scripts? | /etc/init.d
Which runlevel halts the system? | 0
Which file does the UNIX SysV init daemon reference on startup to determine the default runlevel? | /etc/inittab
Which command can be used to start X Windows, the window manager, and the default desktop environment? | startx
Which of the following statements is true? | Either the MBR/GPT or the active partition can contain the boot loader.
Which of the following indicates the second partition on the third hard disk drive to GRUB? | (hd2,1)
Which two implementations of X Windows are commonly used in Linux? (Choose two answers.) | X.org
What is the name of the directory that contains symbolic links to UNIX SysV rc scripts for runlevel 2? | /etc/rc2.d
In what directory is Stage2 of the GRUB2 boot loader stored? | /boot
The first daemon loaded on a Linux system is ________________. | init
Which command causes the system to enter Single User Mode? | init 1
The timeout value in the GRUB configuration file is measured in? | seconds
You have recently modified the options within the /etc/default/grub file. What command can you use next to rebuild the GRUB2 configuration file? | grub2-mkconfig
You wish to configure the runlevels that a particular upstart daemon is started in. What should you do? | Modify the daemon configuration file within the /etc/init directory.
Which of the following Systemd commands can be used to stop a daemon called lala? | systemctl stop lala.service
Which of the following commands can be used to start a UNIX SysV daemon called lala in runlevels 1, 2, and 3? | chkconfig --level 123 lala on
What Systemd target corresponds to runlevel 5? | graphical.target
What keyword can be specified within a boot loader to force the system to boot to Single User Mode? | single
Which command entered without arguments is used to display a list of processes running in the current shell? | ps
Which of the following statements is true? (Choose all that apply.) | If /etc/at.allow exists, only users listed in it can use the at command.
Where are individual user tasks scheduled to run with the cron daemon stored on a Fedora system? | /var/spool/cron/(the user's login name)
Which process will always have a PID of 1 and a PPID of 0? | init
A process spawning or initiating another process is referred to as_________ | forking
As daemon processes are not associated with terminals, you must use the -e switch with the ps command to view them. True or False? | true
Which of the following commands will most likely increase the chance of a process receiving more time slices? | renice -12
How can you bypass the wait function and send a user process to the background? | You can use the Ctrl+z key combination and the bg command.
The at command is used to_______ . | schedule processes to run at a single instance in the future
What command is used to view and modify user jobs scheduled to run with cron? | crontab
Every process has a process ID and a __________ | parent process ID
The killall command terminates ___________. | all instances of a process with the same name
Nice values are used to affect process priorities using a range between ________. | -20 and 19
What is the name given to a process not associated with a terminal? | daemon process
True or False? | false
What kill level signal cannot be trapped? | 9
A runaway process that is faulty and consuming mass amounts of system resources ________ . | is a rogue process
When you run the ps command, how are daemon processes recognized? | There is a question mark in the TTY column.
Which command is used to gain real-time information about processes running on the system, with the most processor-intensive processes appearing at the beginning of the list? | top
Which command can be used to see processes running in the background? | jobs
The process of sending print jobs from the print queue to the printer is called _________. | printing
You can clear a log file simply by redirecting nothing into it. True or False? | true
When a printer is disabled, ______________. | the print queue accepts jobs into the print queue and holds them there until the printer is enabled again
What is the name used to describe a user providing a user name and password to log in to a system? | authentication
Which command can you use to lock a user account? | usermod -L username
Which command can be used to alter the primary group associated with a given user temporarily? | newgrp
Which command can be used to send a print job to the default printer named Printer1? (Choose all that apply.) | lp -d Printer1 file
What is the name of the file that contains a listing of all users on the system and their home directories? | /etc/passwd
UIDs and GIDs are unique to the system and, once used, can never be reused. True or False? | False
What is the name of the utility used to rotate log files? | logrotate
You can lock a user account by changing the default login shell to an invalid shell in /etc/passwd. True or False? | true
When a printer is rejecting requests,_________ | the print queue does not accept jobs and sends a message to the user noting that the printer is unavailable
When referring to the /etc/rsyslog.conf file, __________specifies information from a certain area of the system, whereas __________ is the level of importance of that information. | facility, priority
Most log files on the system are found in which directory? | /var/log
Which file contains default information such as UID and GID ranges and minimum password length to be used at user creation? | /etc/login.defs
What command can you use to view journald log entries on a system that uses Systemd? | journalctl
Which command would you use to unlock a user account? | usermod -U username
Along with a listing of user accounts, the /etc/passwd file contains information on account expiry. True or False? | false
You use lpstat and determine that a user named User1 has placed two large print jobs in the queue for Printer1 that have yet to start printing. They have print job IDs of Printer1-17 and Printer1-21, respectively. Which command would you use to remove these two jobs from the print queue? | cancel Printer1-17 Printer1-21
Which command is used to delete a user account? | userdel username
Most source code is available on the Internet in tarball format. True or False? | true
Which dump level indicates a full backup? | 0
Which filename extension indicates a tarball? | .tar.gz
Files that have been compressed using the compress utility typically have the ___________ extension. | .Z
The bzip2 and gzip utilities use similar compression algorithms. True or False? | false
When compiling source code into a binary program, which command does the compiling using the GNU C Compiler? | make
The -9 option to the gzip command results in a higher compression ratio. True or False? | true
You have created a full backup and four incremental backups. In which order must you restore these backups? | 0, 1, 2, 3, 4
Which of the following commands extracts an archive? | cpio -vicdu -I /dev/fd0
The Debian Package Manager (DPM) is the default package manager used by Fedora 20. True or False? | false
