Which of the following is NOT a potential security issue with respect to the Linux GUI? | Linux GUI applications can be assessed over an SSH connection.
Which of the following /etc/fstab entries will mount /dev/sdb2 as the /home directory at boot time?|/dev/sdb2 /home reiserfs defaults 0 0 
What is the minimum safe procedure for removing a USB flash drive, mounted from /dev/sdb1 at /media/usb, from a Linux computer? |Type umount /media/usb, wait for the command to return and disk activity lights to stop, and then unplug the drive.
You want to use /media/cdrom to access your CD-ROM drive, so you insert a CD-ROM into the drive and type mount /media/cdrom /dev/cdrom as root. You receive the error message /media/cdrom is not a block device. Why did this happen?| The command reverses the order of the CD-ROM device file and the mount point; it should be mount /dev/cdrom /media/cdrom.
What is wrong with the following /etc/fstab file entry? <br>/dev/hda8 nfs default 0 0|The entry is missing a mount point specification, /dev/hda8 is a disk partition, but nfs indicates a network filesystem
You want to move a file from your hard disk to a USB pen drive. Which of the following is true?| The mv command will delete the file on the hard disk after copying it to the pen drive.
You type mkdir one/two/three and receive an error message that reads, in part, No such file or directory. What can you do to overcome this problem? | Add the --parents parameter to the mkdir command. Issue three separate mkdir commands: mkdir one, then mkdir one/two, and then mkdir one/two/three.
Which of the following commands are commonly used to create archive files?|tar, cpio
You've received a tarball called data79.tar from a colleague, but you want to check the names of the files it contains before extracting them. Which of the following commands would you use to do this?|tar tvf data79.tar
What command would you type (as root) to change the ownership of somefile.txt from ralph to tony? |chown tony somefile.txt
Typing ls -ld wonderjaye reveals a symbolic file mode of drwxr-xr-x. Which of the following are true? |wonderjaye is a directory, wonderjaye may be read by all users of the system
When should programs be configured SUID root?| Only when they require root privileges to do their job.
You see the usrquota and grpquota options in the /etc/fstab entry for a filesystem. What is the consequence of these entries?| Quota support will be available if it's compiled into your kernel, but you must activate it with the quotaon command.
Which of the following commands can be used to summarize the quota information about all filesystems?|repquota -a
You've installed a commercial spreadsheet program called WonderCalc on a workstation. In which of the following directories are you most likely to find the program executable file? /usr/sbin /etc/X11 /bin /opt/wcalc/bin| The /opt directory tree exists to hold programs that aren't a standard part of a Linux distribution, such as commercial programs. These programs should install in their own directories under /opt; these directories usually have bin subdirectories of their own, although this isn't required. The /usr/sbin directory holds programs that are normally run only by the system administrator, and /bin holds critical basic binary files. The /etc/X11 directory holds X-related configuration files. None of these directories is an appropriate place for a spreadsheet program.
What can the type command do that whereis can't do? Identify a command as an alias, internal command, or external command
What can you conclude from the following interaction? $ which man /usr/bin/man| The first instance of the man program, in path search order, is in /usr/bin.
After booting, one of your hard disks doesn't respond. What might you do to find out what's gone wrong?| Type dmesg less, and peruse the output for disk-related messages.
Which of the following is the LILO boot loader configuration file?| /etc/lilo.conf
Run level _____________ is the normal run level|3
What should be the first line of a LILO configuration file stanza intended to boot a Linux kernel stored as /boot/bzImage-2.6.26?| image=/boot/bzImage-2.6.26
Which command is used to install GRUB into the MBR of your first ATA hard drive? |grub-install /dev/hda
You type the following command:<br>$ runlevel<br>5 3<br>What can you tell about your runlevel status?|The current runlevel is 3,The previous runlevel is 5
A system administrator types the following command:<br># shutdown -c<br>What is the effect of this command?|A previously scheduled shutdown is cancelled
How would you remove two lines of text from a file using Vi? |In Vi, dd is the command-mode command that deletes lines. Preceding this command by a number deletes that number of lines. Although yy works similarly, it copies (yanks) text rather than deleting it. Option C works in many more modern text editors, but not in Vi. Option D works in Emacs and similar text editors, but not in Vi.
In Vi's command mode, you type :q!. What is the effect?| The program terminates without saving your work.
What mount point should you associate with swap partitions?|None
To access files on a USB pen drive, you type mount /dev/sdc1 /media/pen as root. Which types of filesystems will this command mount, provided the filesystem support exists in the kernel|Ext2fs,FAT,HFS
Which of the following /etc/fstab entries will mount /dev/sdb2 as the /home directory at boot time?|/dev/sdb2 /home resierfs defaults 0 0
What filesystem options might you specify in /etc/fstab to make a removable disl (USB pen drive, Zip disk, floppy disk, and so on) user-mountable?|user, users, owner
Your /etc/fstab file contains the following entry: /dev/sdc5 / ext4 defaults 1 1 Unfortunately, the order in which your three hard disks is detected vaires randomly from one boot to another which makes this etry problematic. how might you change the entry to fix this problem?|Replace /dev/sdc5 with a UUID specification, such as UUID=ab4cdbdd-b9b3-404a-9a54-c1691f1f1483, obtaining the UUID value using blkid
You've just repartitioned a non-boot disk, added a swap partition to it (/dev/sdb7), created swap space on the partition. How can you activate the new swap partition. How can you activate the new swap partition?|swapon /dev/sdb7, swapon -a
What is the purpose of the /etc/mtab file?|It describes the filesystems that are currently mounted, using syntax similar to that of /etc/fstab.
A network file server has become unavailable while your Linux computer was accessing it at /mnt/remote. Now you want to umount that share, but because the server has disappeared, umount complains. Which of the follow commands is most likley to successfully unmount this unresponsive mount?|umount -f /mnt/remote
What does the following command accomplish? # mkfs.ext2 /dev/sda4| it creates a new ext2 filesystem on /dev/sda4, overwriting any existing filesystem and data.
Which of the following options in used with fsck to force it to use a particular filesystem type?|-t
What is an advantage of a journaling filesystem over a conventional (non-journaling) filesystem?|Journaling filesystems require shorter disk checks after a power failure of system crash.
Which of the following features can you adjust with tune2fs?|The presence of a journal, The filesystem's UUID
You have accidentally deleted a file on an ext3fs partition. To recover it, you first enter debugfs, specifying the partition's device node. How can you recover the file?|Type undelete inode, where inode is the files' inode number.
An ext4 filesystem on /dev/sda3 is being checked every time you reboot your computer. You suspect it may have an incorrect value set that's causing the system to check it after every mount operation. How can you test this hypothesis?|Type dumpe2fs -h /dev/sda3 and examine the maximum mount count and maximum check interval values.
What option to mkisofs would you use if you want a computer running Microsoft Windows 7 to be able to read long filenames on a CD-R or DVD created with Linux? |-J, -udf
You've downloaded the latest version of your Linux distribution as a 4 GB DVD image file (distrib.iso). Which of the following commands will burn this file to a blank DVD, assuming your DVD drive can be accessed as /dev/dvdrw?| growisofs -Z /dev/dvdrw=distrib.iso
You want to write files to a DVD+RW disc over a period of several days, retaining the ability to read the disc on another computer at a moment's notice. How can you accomplish this task?|Use mkudffs to create a UDF filesystem on the disc, mount it as if it were a hard disk, and write files to it.
The /etc/auto.master file on ganymede.example file on ganymede.example.com contains the following line: /mnt/net /etc/auto.servers The /etc/auto.servers file includes the following line: templates europa.example.com: /data/templates What file should a user on ganymede.example.com access to read the /data/templates/iceflow.txt file on europa.example.com?|/mnt/net/templates/iceflow.txt
What is the effect of the following udev rule, when placed in the /etc/udev/rules.d/99-my.rules files? KERNEL=="video*", DRIVER=="saa7134", SYMLINK+="video-A180" |It creates a symbolic link called /dev/video-A180 that points to the primary device file for a video device that has a driver called saa7134.
You're using a third-party Linux driver that creates device files called /dev/pd-c0-aout, /dev/pdc0-din, and several more of this form. You want to give users in the exper group full read/write access to these device while keeping other users from accessing them. What udeve rule can accomplish this goal?|KERNEL=="pc-c?-*", GROUP="exper", MODE="0660"
Which of the following represents a type of mandatory access control | The FTP service is allowed to interact with directories other than users' home directories
Which FHS directory  can be mounted separately from the root directory ? | /home/
The read, write, and execute permissions of a file are an example of a | discretionary access control
The /usr/directory  contains programs that are generally accessible to all users. This directory  can be secured by mounting it | as read-only
Who developed the first Linux kernel | Linus Torvalds
As specified in the FHS, log files are generally found in the ____ directory  | /var/
The WINE application is an example of process that runs in | user space 
What is the primary mission of the Electronic Frontier Foundation (EFF)? | Protection of consumer digital rights
What is a TPM chip used for? | All of the above 
Which directory renders many application unusable, including logging into the GUI, if the space allocated to the /tmp/filesystem is full | /tmp/
What would be the result of changing the GRUB option timeout=5 to timeout=0 on the Linux operating system | The boot loader will immediately boot the operating system into the default kernel
Which of the following is not a common server form factor | FireWire 
What is Pre-boot execution environment (PXE) associated with | Linux installation over a network 
Assume that you have just logged on as aregular user. Which of the following commands allows you to edit the file with user passwords associated with the Shadow Password Suite? | B. sudo -c "vi/etc/shadow"
To add a comment to the new user's profile, the _________ option could be used | -c
commercial distributions | RHEL and SLE are examples of
You need to change the permissions on a file called spock.odt such that the owner can read and write to the file, users who are members of the group can read and write to the file and users who are not the owner and not part of the owning group can only read the file. Which command will do this? | chmod 664
core | The actual Stage 2 image is the __________ of the GRUB
The core of the operating system: the kernel. |What is Linux exactly?
Cost savings by purchasing less hardware Security advantages with more bastion hosts |What are the advantages of virtualization in a Linux infrastructure?
dhcpcd | Which of the following is not a Linux DHCP client?
a bootloader is | the first program that runs when a computer starts
Free distributions backed by their commercial counterparts | Red Hat and Ubuntu are examples of
What is a common use for Linux in the LANto-WAN Domain | gateway
The open source license associated with theGNU project is __________ | GPL
GNU stands for | GNU's not Unix
The command that list currently loaded GPGkey is ____ | GPG -listkey
GRUB stands for | Grand Unified Bootloader
Which of the following commands will print lines from the file world.txt that contain matches to changes and changed? | grep change[ds] world.txt
To add a new group to your system you must use the __________ command. | groupadd
To delete an existing group, you must use the ______________ command. | groupdel
To modify an existing group, you must use the | groupmod
Which of the following commands can be used to add the users Superman, Batman and WonderWoman to a group called JusticeLeague that already exists on a Linux System? | groupmod -A "Superman,Batman,WonderWoman" JusticeLeague
__________ aims to be compliant with the Multiboot Specification. | GRUB
The ________ Shell is interactive. | GRUB
In Linux, the two most common boot loaders are | GRUB and LILO
Which of the following are valid block devices on most default linux distributions? | hard disks loopback devices
The /etc/shadow file | is the encrypted password file 
What does the configure script do in an application's install directory? | It checks the local system to verify that the necessary components are available. It creates the Makefile file.
What does the following command accomplish? <br># mkfs -t ext2 /dev/sda4 | It creates a new ext2 filesystem on /dev/sda4, overwriting any existing filesystem and data.
Red Hat/Fedora | The RPM and YUM package management systems are usually associated with _______ distributions. 
259. Replace the incompatible parts with supported parts. | You're planning to install Linux on a system that you have built out of spare parts. Several components are not listed on your distributions HCL. What should you do? 
 rpm -checksig ./evolution- 2.6.0.41.i586.rpm | You've downloaded a package named evolution-2.6.0.41.i586.rpm to your home directory. What command will you use to check the digital signature of the package to verify that is has not been tampered with?
266. rpm -e evolution | What command would you use to uninstall the evolution-2.6.0.41.i586.rpm from your system?
267. rpm -ihv ./evolution- 2.6.0.41.i586.rpm | You have just downloaded an RPM package named evolution- 2.6.0.41.i586.rpm. What command will you use to install the package on your system, displaying a progress indicator as the installation is completed? 
269. rpm -U evolution- 2.6.0.41.i586.rpm | You currently have evolution- 2.2.0.53.i586.rpm on your system. You have recently downloaded evolution- 2.6.0.41.i586.rpm to your system and want to install it. What command will you use to upgrade(install) the newer package? 
271. runlevels | _________ range from 0-6
283. stages | The GRUB process happens in 
289. Swap | Which Partition is used by Linux for virtual memory?
295. tar tvf data79.tar | You've received a tarball called data79.tar from a colleague, but you want to check the names of the files it contains before extracting them. Which of the following commands would you use to do this?
296. tar -xvzf Bit Torrent- 5.0.1.tar.gz | Assuming all of the preliminary steps have been taken correctly, what command would you enter at the shell prompt to extract all of the files from the Bit Torent- 5.0.1.tar.gz archive? 
298. telinit 5 | Having booted into run level 3, how would you change to run level 5 without rebooting? telinit 5 startx run 5 ALT-F7-5 setinit 5 
299. They are changed with the password utility. | Which of the following is true of Linux passwords?
Stage 2 consists of | two images
A server (or any system) should have a strong password. | T
Linux may not support your hardware by default | T
Virtual memory is the same as Swap space in Linux. | T
With Server 2008, Microsoft has somewhat decoupled the GUI from the base OS. | Tr
VFS is used for a partition that will store files from nonLinux Operating Systems. | Tr\
In Linux, the GUI interface and the kernel are separate. | Tr
 A multi-user operating system is capable of providing services for many users on the system concurrently | Tr
KDE, GNOME and XDE are examples of GUI interfaces available for Linux | Tr
Linux associates each partition as a separate device. | Tr
The Open Source/GNU movement was started by Richard Stallman. | Tr
Linux, for the most part, adopts the monolithic kernel architecture. | Tr
It is important to check your distribution's Hardware Compatibility List (HCL) before installing Linux. | Tr
We will be using a dual-boot system in this course. | Tr
Which of the following measures is the most effective way to prevent attacks through various network services? | Uninstall unneeded network services.
Each group gets a(n) | . unique GID 
Which command will update the slocate database as a background process? | updatedb & 
How can you best see how much free space you have in your current directory? | Use df
The command to add a new user is | useradd 
To delete a user, you must use the _____________ command. | userdel
The third field in the /etc/passwd file is | user ID (UID)
To modify an existing user's profile you, must use the _____________ command. | . usermod
An executable file has the SUID permission set. IF the file is run on the system, who owns the file? | The user who runs the file becomes the file's temporary owner.
Where does the RPM store its database of installed packages? | /var/lib/rpm 
Typing ls -ld wonderjaye reveals a  symbolic file mode of drwxr-xr-x. Which of the following is true?| wonderjayeis adirectory. wonderjayemay be read by all users of the system.
What is YaST? | Yet another Setup Tool and it has a GUI interface
The different releases of Linux are known as | Distributions or distros
How should you engage users in helping to secure your computer's passwords? | Educate them about the importance of security, the means of choosing good passwords, and the ways crackers can obtain passwords.
What is wrong with the following /etc/fstabfile entry?/dev/hda8 nfs default 0 0 | The entry is missing a mount point specification. /dev/hda8is a disk partition, but nfsindicates a network filesystem.
Group information is stored in the | /etc/group file 
A server should be user friendly so anyone in the company can use it for casual computing. | False
The server room does not need to be temperature controlled because servers are robust and can handle a wide variety of temperatures. | False 
A server should be located out in the open, with easy access for all. | False
In the Macintosh and Windows design concept, the GUI interface and kernel are separate. | False
ext3 and ext are exactly the same file system with different names. | False
We used the second extended file system (ext2) for our file system. | False, ext4 
"One computer, one desk, one user" was the vision of Richard Stallman. | False (Gates)
It is reserved | Which of the following statements applies to the IP address 192.168.0.1?
The linuxconf Routed Daemon screen | Which of the following are ways to disable dynamic routing?
Linux Loader | LILO stands for
man 3 syslog | You are told by a co-worker that information pertaining to the syslog command can be found in man page 3. How would you view this information?
Manages scheduling of routine system tasks | Which statement describes the cron daemon?
The megaprog.rpm, if it exists, is valid and is not already installed, is installed on the system | An administrator types the following command on an RPM based Linux system: # rpm -ihv megaprog.rpm. What is the effect of this command? 
The program files are large and thus may cause a disk to run out of space.|Users may be able to abuse a program's features, thus doing more damage than would otherwise be possible Which of the following are risks of SUID and SGID programs? 
How would you remove two lines of text from a file using Vi? | In command mode, position the cursor on the first line, an
What is the first program that the Linux kernel runs once it's booted in a normal boot process? | init
initrd /boot/initrd-3.4.2 | How might you identify an initial RAM disk file in GRUB 2?
Install it as a new kernel leaving the original kernel in place | which of the following is the correct method to apply a new kernel built on a Linux system
What does runlevel 4 do? | Its purpose isn't standardized, so it can be used for anything you like
What is included in a typical Linux distribution | . Kernel, tools, libraries and application
You want to boot a Linux system into single-user mode. What option might you add to a Linux kernel's options list at a boot loader to accomplish this task | I
root ALL=(ALL) ALL | Which entry in the standard /etc/sudoers file gives the root administrative user
LDAP | Which of the following is the best choice for network authentication
The live CD can be used for forensic analysis. | Which of the following is a valid reason to use a Live CD on a suspected compromised system?
MBR | Where might the bios find a bootloader?
. A methodology used by open source security professionals to measure compliance | Which of the following is one of the best descriptions for OSSTMM?
Mkfs | Which command formats all Linux system, Microsoft VFAT....
Nessus | Which of the following tools would be most appropriate to periodically scan all Linux servers for vulnerabilities?
Netstat | which command helps to better understand the networking subsystem
Nologin | Which of the following is a fake shell you can use for nonstandard users
An open source antivirus solution mainly used on Linux e-mail gateways. | ClamAV can be described as:
56. A passphrase using a public and private key | In addition to username/passwords, SSH can authenticate a user based upon
A previously scheduled shutdown is cancelled. | A system administrator types the following command: # shutdown -c What is the effect of this command?
. The private company behind Ubuntu | What is Canonical?
9. /proc/kcore | In a suspected compromised system, which of the following files will have the current data stored in RAM?
The program terminates without saving your work | In Vi's command mode, you type :q!. What is the effect?
Know the Linux command for listing all running processes | ps aux or just ps
An enterprise running RHEL that wishes to control its own repository locally for package updates may consider using | Red Hat Satellite Server
Which entry in the standard /etc/sudoers file gives the root administrative user | root ALL=(ALL) ALL
. rsync -e ssh | Which of the following commands is used to transfer data over an SSH connection in encrypted format?
. Running GUI applications | Using Linux as a desktop typically involves the added security risk of:
If a share on a MS windows host needs to mount on the Linux filesystem, which network service would typically be used? | SAMBA
Samba has username and passowrd authentication as part ofits built-in functionality | from a security perspective, what is the advantage of SAMBA over NFS when installed with the standard configuration?
8. The service runs in isolation in its own virtual-like environment | Running a network service in a chroot environment is considered a layer of security because:
the linux open source license allows anyone to use, modify, and improve the ____ | source code 
A specific function and minimal services installed to provide its designated services | The theory of configuring a bastion host is one in which the server has:
SSH | which method is preferable for securing access in the Remote Access Domain?
a stock built from the mainline kernel | A "vanilla" kernel has _____?
which of the following control flags used in PAM approves user access assuming that there are no previous failures? | sufficient
A file with the ___ bit allows other users to run that command | SUID
Which of the following commands may not be used instead of shutdown in certain circumstances (with appropriate options added to one or the other command) | takedown
You want to change to single-user mode on a running system. What command might you use to do this? | telinit 1
What is the purpose for which the following iptables is used: iptables -I INPUT -m state --state -m tcp -p tcp --dport 22 -j ACCEPT | to allow allincoming connectiosn to port 22 by inserting the rules at the top of the chain
Type dmesg | less, and peruse the output for disk-related messages. | After booting, one of your hard disks doesn't respond. What might you do to find out what's gone wrong?
Type R. Type i. Type a. | From Vi's command mode, you want to enter insert mode. How might you do this?
Typically, open source software vulnerabilities are immediately made public | Which of the following is a difference between security vulnerabilities associated with open source software and proprietary software ?
The user's basic information, such as the default login shell. | what user account information can be found in the /etc/passwd file
User Space | The WINE application is an example of a process that runs in?
Usrquota | Which mounting option will enable user quotas on a filesystem
Vi is smaller and so can fit on compact emergency systems and embedded devices | What is an advantage of Vi over Emacs?
5. visudo | which of the following commands is used to edit the /etc/sudoers file?
YUM | which of the following commands can automatically detect dependencies during software install?
